TOKEN: DEF	LEXEMA: def
TOKEN: TIPO_INT	LEXEMA: int
TOKEN: IDENTIFICADOR	LEXEMA: miFuncion
TOKEN: PARENTESIS_IZQ	LEXEMA: ʃ
TOKEN: TIPO_INT	LEXEMA: int
TOKEN: IDENTIFICADOR	LEXEMA: valor
TOKEN: PARENTESIS_DER	LEXEMA: ʅ
TOKEN: LLAVE_ABRE	LEXEMA: \
TOKEN: RETURN	LEXEMA: return
TOKEN: IDENTIFICADOR	LEXEMA: valor
TOKEN: SUMA	LEXEMA: +
TOKEN: LITERAL_INT	LEXEMA: 1
TOKEN: DELIMITADOR	LEXEMA: ?
TOKEN: LLAVE_CIERRA	LEXEMA: /
TOKEN: VOID	LEXEMA: void
TOKEN: MAIN	LEXEMA: main
TOKEN: PARENTESIS_IZQ	LEXEMA: ʃ
TOKEN: PARENTESIS_DER	LEXEMA: ʅ
TOKEN: ERROR	LEXEMA: ´
TOKEN: TIPO_INT	LEXEMA: int
TOKEN: IDENTIFICADOR	LEXEMA: x
TOKEN: DELIMITADOR	LEXEMA: ?
TOKEN: IDENTIFICADOR	LEXEMA: x
TOKEN: IGUAL	LEXEMA: =
TOKEN: LITERAL_INT	LEXEMA: 10
TOKEN: DELIMITADOR	LEXEMA: ?
TOKEN: TIPO_FLOAT	LEXEMA: float
TOKEN: IDENTIFICADOR	LEXEMA: y
TOKEN: IGUAL	LEXEMA: =
TOKEN: LITERAL_FLOAT	LEXEMA: 3.14
TOKEN: DELIMITADOR	LEXEMA: ?
TOKEN: TIPO_BOOL	LEXEMA: bool
TOKEN: IDENTIFICADOR	LEXEMA: z
TOKEN: IGUAL	LEXEMA: =
TOKEN: LUNA	LEXEMA: luna
TOKEN: DELIMITADOR	LEXEMA: ?
TOKEN: TIPO_CHAR	LEXEMA: char
TOKEN: IDENTIFICADOR	LEXEMA: letra
TOKEN: IGUAL	LEXEMA: =
TOKEN: LITERAL_CHAR	LEXEMA: 'a'
TOKEN: DELIMITADOR	LEXEMA: ?
TOKEN: TIPO_STRING	LEXEMA: string
TOKEN: IDENTIFICADOR	LEXEMA: mensaje
TOKEN: IGUAL	LEXEMA: =
TOKEN: LITERAL_STRING	LEXEMA: "Hola mundo"
TOKEN: DELIMITADOR	LEXEMA: ?
TOKEN: TIPO_INT	LEXEMA: int
TOKEN: IDENTIFICADOR	LEXEMA: arregloUno
TOKEN: BARRA_ARREGLO	LEXEMA: |
TOKEN: LITERAL_INT	LEXEMA: 1
TOKEN: COMA	LEXEMA: ,
TOKEN: LITERAL_INT	LEXEMA: 2
TOKEN: COMA	LEXEMA: ,
TOKEN: LITERAL_INT	LEXEMA: 3
TOKEN: BARRA_ARREGLO	LEXEMA: |
TOKEN: DELIMITADOR	LEXEMA: ?
TOKEN: TIPO_INT	LEXEMA: int
TOKEN: IDENTIFICADOR	LEXEMA: otroValor
TOKEN: IGUAL	LEXEMA: =
TOKEN: IDENTIFICADOR	LEXEMA: miFuncion
TOKEN: PARENTESIS_IZQ	LEXEMA: ʃ
TOKEN: IDENTIFICADOR	LEXEMA: x
TOKEN: PARENTESIS_DER	LEXEMA: ʅ
TOKEN: DELIMITADOR	LEXEMA: ?
TOKEN: SYSPRINT	LEXEMA: sysPrint
TOKEN: PARENTESIS_IZQ	LEXEMA: ʃ
TOKEN: IDENTIFICADOR	LEXEMA: mensaje
TOKEN: PARENTESIS_DER	LEXEMA: ʅ
TOKEN: DELIMITADOR	LEXEMA: ?
TOKEN: SYSPRINT	LEXEMA: sysPrint
TOKEN: PARENTESIS_IZQ	LEXEMA: ʃ
TOKEN: IDENTIFICADOR	LEXEMA: otroValor
TOKEN: PARENTESIS_DER	LEXEMA: ʅ
